Cable Drum multiplier tables from APCO manual.  Using Imperial numbers as IPPT is required,,,,,,,,
5250-18,108,=B88*$B$34,0.3967,7.4,,= 405.66*C88^-0.8768,=G88-@D88:D88,=100*2.2*H88
5250-18,111,=B89*$B$34,0.3878,7.6,,= 405.66*C89^-0.8768,=G89-@D89:D89,=100*2.2*H89
5250-18,114,=B90*$B$34,0.3792,7.7,,= 405.66*C90^-0.8768,=G90-@D90:D90,=100*2.2*H90
5250-18,117,=B91*$B$34,0.371,7.9,,= 405.66*C91^-0.8768,=G91-@D91:D91,=100*2.2*H91
5250-18,120,=B92*$B$34,0.3631,8.1,,= 405.66*C92^-0.8768,=G92-@D92:D92,=100*2.2*H92
5250-18,123,=B93*$B$34,0.3556,8.3,,= 405.66*C93^-0.8768,=G93-@D93:D93,=100*2.2*H93
5250-18,126,=B94*$B$34,0.3483,8.4,,= 405.66*C94^-0.8768,=G94-@D94:D94,=100*2.2*H94
5250-18,129,=B95*$B$34,0.3414,8.6,,= 405.66*C95^-0.8768,=G95-@D95:D95,=100*2.2*H95
5250-18,132,=B96*$B$34,0.3347,8.8,,= 405.66*C96^-0.8768,=G96-@D96:D96,=100*2.2*H96
5250-18,135,=B97*$B$34,0.3282,8.9,,= 405.66*C97^-0.8768,=G97-@D97:D97,=100*2.2*H97
5250-18,138,=B98*$B$34,0.322,9.1,,= 405.66*C98^-0.8768,=G98-@D98:D98,=100*2.2*H98
5250-18,141,=B99*$B$34,0.316,9.3,,= 405.66*C99^-0.8768,=G99-@D99:D99,=100*2.2*H99
5250-18,144,=B100*$B$34,0.3102,9.5,,= 405.66*C100^-0.8768,=G100-@D100:D100,=100*2.2*H100
5250-18,147,=B101*$B$34,0.3047,9.6,,= 405.66*C101^-0.8768,=G101-@D101:D101,=100*2.2*H101
5250-18,150,=B102*$B$34,0.2993,9.8,,= 405.66*C102^-0.8768,=G102-@D102:D102,=100*2.2*H102
5250-18,153,=B103*$B$34,0.2941,10,,= 405.66*C103^-0.8768,=G103-@D103:D103,=100*2.2*H103
5250-18,156,=B104*$B$34,0.2891,10.2,,= 405.66*C104^-0.8768,=G104-@D104:D104,=100*2.2*H104
5250-18,159,=B105*$B$34,0.2842,10.3,,= 405.66*C105^-0.8768,=G105-@D105:D105,=100*2.2*H105
5250-18,162,=B106*$B$34,0.2795,10.5,,= 405.66*C106^-0.8768,=G106-@D106:D106,=100*2.2*H106
5250-18,165,=B107*$B$34,0.275,10.7,,= 405.66*C107^-0.8768,=G107-@D107:D107,=100*2.2*H107
5250-18,168,=B108*$B$34,0.2706,10.9,,= 405.66*C108^-0.8768,=G108-@D108:D108,=100*2.2*H108
5250-18,171,=B109*$B$34,0.2663,11,,= 405.66*C109^-0.8768,=G109-@D109:D109,=100*2.2*H109
5250-18,174,=B110*$B$34,0.2622,11.2,,= 405.66*C110^-0.8768,=G110-@D110:D110,=100*2.2*H110
5250-18,177,=B111*$B$34,0.2582,11.4,,= 405.66*C111^-0.8768,=G111-@D111:D111,=100*2.2*H111
5250-18,180,=B112*$B$34,0.2543,11.5,,= 405.66*C112^-0.8768,=G112-@D112:D112,=100*2.2*H112
5250-18,183,=B113*$B$34,0.2505,11.7,,= 405.66*C113^-0.8768,=G113-@D113:D113,=100*2.2*H113
5250-18,186,=B114*$B$34,0.2468,11.9,,= 405.66*C114^-0.8768,=G114-@D114:D114,=100*2.2*H114
5250-18,189,=B115*$B$34,0.2433,12.1,,= 405.66*C115^-0.8768,=G115-@D115:D115,=100*2.2*H115
5250-18,192,=B116*$B$34,0.2398,12.2,,= 405.66*C116^-0.8768,=G116-@D116:D116,=100*2.2*H116
5250-18,195,=B117*$B$34,0.2365,12.4,,= 405.66*C117^-0.8768,=G117-@D117:D117,=100*2.2*H117
5250-18,198,=B118*$B$34,0.2332,12.6,,= 405.66*C118^-0.8768,=G118-@D118:D118,=100*2.2*H118
5250-18,201,=B119*$B$34,0.23,12.8,,= 405.66*C119^-0.8768,=G119-@D119:D119,=100*2.2*H119
5250-18,204,=B120*$B$34,0.2269,12.9,,= 405.66*C120^-0.8768,=G120-@D120:D120,=100*2.2*H120
5250-18,207,=B121*$B$34,0.2239,13.1,,= 405.66*C121^-0.8768,=G121-@D121:D121,=100*2.2*H121
5250-18,210,=B122*$B$34,0.2209,13.3,,= 405.66*C122^-0.8768,=G122-@D122:D122,=100*2.2*H122
5250-18,213,=B123*$B$34,0.2181,13.5,,= 405.66*C123^-0.8768,=G123-@D123:D123,=100*2.2*H123
5250-18,216,=B124*$B$34,0.2153,13.6,,= 405.66*C124^-0.8768,=G124-@D124:D124,=100*2.2*H124
